Modelo,Base,Otimizador,Replica,Inf_cut,Sup_cut,MAPE_otimizador,MAPE_test
RandomForest,wind_dataset,Baseline,5,0,0,0,0.3615531591599339
RandomForest,wind_dataset,Baseline,4,0,0,0,0.3461970577392488
RandomForest,wind_dataset,Baseline,3,0,0,0,0.35540524839968
RandomForest,wind_dataset,Baseline,2,0,0,0,0.3538294788791039
RandomForest,wind_dataset,Baseline,1,0,0,0,0.37445514908159055
RandomForest,Real_estate,Baseline,5,0,0,0,0.1340738231680474
RandomForest,Real_estate,Baseline,4,0,0,0,0.13045980655610714
RandomForest,Real_estate,Baseline,3,0,0,0,0.13318735736426773
RandomForest,Real_estate,Baseline,2,0,0,0,0.13454320704014366
RandomForest,Real_estate,Baseline,1,0,0,0,0.12044132488533575
RandomForest,Financial_Distress,Baseline,5,0,0,0,0.926095953178685
RandomForest,Financial_Distress,Baseline,4,0,0,0,1.2870199600551844
RandomForest,Financial_Distress,Baseline,3,0,0,0,1.0272953714964743
RandomForest,Financial_Distress,Baseline,2,0,0,0,1.0044943331333709
RandomForest,Financial_Distress,Baseline,1,0,0,0,0.8886510973750047
RandomForest,solar_radiation,Baseline,5,0,0,0,0.5101279664517705
RandomForest,solar_radiation,Baseline,4,0,0,0,0.4573708623669995
RandomForest,solar_radiation,Baseline,3,0,0,0,0.43005071944600465
RandomForest,solar_radiation,Baseline,2,0,0,0,0.48314176584124713
RandomForest,solar_radiation,Baseline,1,0,0,0,0.4772577746758918
RandomForest,medical_cost,Baseline,5,0,0,0,0.2946588992172565
RandomForest,medical_cost,Baseline,4,0,0,0,0.3084803524131895
RandomForest,medical_cost,Baseline,3,0,0,0,0.276899805328723
RandomForest,medical_cost,Baseline,2,0,0,0,0.36729241243969274
RandomForest,medical_cost,Baseline,1,0,0,0,0.3399145574534893
RandomForest,house_rent,Baseline,5,0,0,0,0.3183991715507933
RandomForest,house_rent,Baseline,4,0,0,0,0.32753831903564107
RandomForest,house_rent,Baseline,3,0,0,0,0.3211500747395187
RandomForest,house_rent,Baseline,2,0,0,0,0.31524484604906394
RandomForest,house_rent,Baseline,1,0,0,0,0.3533512491681588
RandomForest,employee_performance,Baseline,5,0,0,0,0.06720073554828485
RandomForest,employee_performance,Baseline,4,0,0,0,0.0742527854753605
RandomForest,employee_performance,Baseline,3,0,0,0,0.05631441007671562
RandomForest,employee_performance,Baseline,2,0,0,0,0.06836625477403036
RandomForest,employee_performance,Baseline,1,0,0,0,0.08337352376665076
RandomForest,car_price,Baseline,5,0,0,0,0.22394685468145076
RandomForest,car_price,Baseline,4,0,0,0,0.21224885919749278
RandomForest,car_price,Baseline,3,0,0,0,0.22169747742571988
RandomForest,car_price,Baseline,2,0,0,0,0.23170227283540346
RandomForest,car_price,Baseline,1,0,0,0,0.23257756830171739
RandomForest,Blueberry_Yield,Baseline,5,0,0,0,0.026004416862667704
RandomForest,Blueberry_Yield,Baseline,4,0,0,0,0.026200102356486975
RandomForest,Blueberry_Yield,Baseline,3,0,0,0,0.025786913874605577
RandomForest,Blueberry_Yield,Baseline,2,0,0,0,0.02840816567297112
RandomForest,Blueberry_Yield,Baseline,1,0,0,0,0.0270893477618242
RandomForest,bike_sharing_hour,Baseline,5,0,0,0,0.4243073994252871
RandomForest,bike_sharing_hour,Baseline,4,0,0,0,0.432572174158969
RandomForest,bike_sharing_hour,Baseline,3,0,0,0,0.42224581478778217
RandomForest,bike_sharing_hour,Baseline,2,0,0,0,0.4200365235426348
RandomForest,bike_sharing_hour,Baseline,1,0,0,0,0.42546516702052345
